outside box penalty,loss,step,epoch
1.0,1.3066195249557495,4,4
1.0,0.9414060711860657,9,9
1.0,-0.2056586593389511,14,14
1.0,-0.9139618873596191,19,19
1.0,-0.6870482563972473,24,24
1.0,-1.0855566263198853,29,29
1.0,-1.008286952972412,34,34
1.0,-1.1527377367019653,39,39
1.0,-1.3026238679885864,44,44
1.0,-1.4562052488327026,49,49
1.0,-1.6845014095306396,54,54
1.0,-2.075359582901001,59,59
1.0,-2.6681888103485107,64,64
1.0,-3.361478090286255,69,69
1.0,-3.1362361907958984,74,74
1.0,-3.6924517154693604,79,79
1.0,-3.668276309967041,84,84
1.0,-3.650182008743286,89,89
1.0,-3.6565239429473877,94,94
1.0,-3.802241086959839,99,99
