epoch,loss,step,outside box penalty
4,1.3812956809997559,4,1.0
9,1.2714749574661255,9,1.0
14,0.9255685210227966,14,1.0
19,0.18507839739322662,19,1.0
24,-0.3305460810661316,24,1.0
29,-0.4455703794956207,29,1.0
34,0.1338321566581726,34,1.0
39,0.6130187511444092,39,1.0
44,0.5825676321983337,44,1.0
49,0.4535720944404602,49,1.0
54,-0.01241984125226736,54,1.0
59,-0.15060646831989288,59,1.0
64,-0.4981628656387329,64,1.0
69,-1.0636814832687378,69,1.0
74,-0.8722798824310303,74,1.0
79,-0.8292524218559265,79,1.0
84,-0.6508370041847229,84,1.0
89,-1.1536585092544556,89,1.0
94,-1.233027696609497,94,1.0
99,-1.2548555135726929,99,1.0
